"Season","TeamName","Tempo","RankTempo","AdjTempo","RankAdjTempo","OE","RankOE","AdjOE","RankAdjOE","DE","RankDE","AdjDE","RankAdjDE","AdjEM","RankAdjEM"
"2025","Abilene Christian",69.6351,95,69.2344,83,96.5057,341,98.8502,324,101.251,69,103.026,92,-4.17614,216
"2025","Air Force",64.7205,332,64.5049,327,96.4261,343,99.9491,308,112.077,316,112.094,275,-12.1445,303
"2025","Akron",72.8507,11,72.3133,12,113.207,52,112.124,90,103.299,109,106.024,144,6.10034,103
"2025","Alabama",75.9466,1,75.0424,1,119.398,6,127.289,3,105.16,162,97.8497,36,29.4398,6
"2025","Alabama A&M",72.7779,13,72.0104,16,95.8296,348,93.2056,360,109.865,268,115.542,326,-22.3365,359
"2025","Alabama St.",69.5088,100,68.1249,146,104.767,218,102.326,258,106.318,182,113.11,290,-10.7847,293
"2025","Albany",68.4326,160,67.7532,165,106.225,171,103.308,244,106.875,195,111.715,260,-8.40707,264
"2025","Alcorn St.",66.4343,270,65.0109,316,98.0593,327,98.9863,320,109.526,260,112.476,279,-13.4897,317
"2025","American",63.5745,357,63.65,349,103.813,239,102.277,260,106.176,180,109.463,219,-7.18547,252
"2025","Appalachian St.",64.0781,351,63.6345,350,103.102,253,101.794,273,100.334,56,101.585,71,0.20891,160
"2025","Arizona",70.4653,56,70.3185,51,113.981,40,120.135,18,99.5635,42,94.9763,17,25.159,13
"2025","Arizona St.",70.1355,71,68.827,112,103.71,241,112.315,88,105.52,170,100.087,54,12.2284,65
"2025","Arkansas",70.147,70,69.2155,84,106.926,160,111.739,94,99.4166,38,94.9391,16,16.8001,41
"2025","Arkansas Pine Bluff",73.081,8,72.1511,15,96.4511,342,95.1388,354,118.575,358,121.957,361,-26.8181,363
"2025","Arkansas St.",70.41,58,69.9663,59,110.762,76,110.19,118,98.0873,25,101.205,69,8.98491,87
"2025","Army",67.5148,208,67.8227,162,103.859,238,101.387,280,110.234,277,114.869,318,-13.4819,316
"2025","Auburn",69.3599,111,68.6024,121,122.919,2,130.717,1,99.2172,33,93.0429,10,37.6737,2
"2025","Austin Peay",66.9383,240,66.3783,240,103.528,242,102.567,254,111.909,314,111.549,258,-8.98128,269
"2025","Ball St.",68.1163,179,66.3878,239,108,137,104.805,219,109.72,265,114.069,311,-9.26342,275
"2025","Baylor",66.257,278,65.4269,296,113.454,48,121.059,15,104.585,147,100.737,61,20.3224,31
"2025","Bellarmine",67.1705,232,66.465,235,104.599,221,104.251,226,120.141,363,121.889,360,-17.6382,342
"2025","Belmont",70.5612,53,70.7773,36,112.83,57,114.129,68,110.106,276,111.364,252,2.76431,132
"2025","Bethune Cookman",69.7475,90,69.2744,81,98.9314,320,98.4369,329,104.04,128,108.127,194,-9.69044,279
"2025","Binghamton",66.3573,274,65.9181,272,101.913,274,99.6065,313,108.699,241,112.723,283,-13.1165,312
"2025","Boise St.",66.0653,287,65.9824,270,113.462,47,116.64,46,99.8879,48,100.224,55,16.4159,48
"2025","Boston College",66.9477,239,66.796,226,102.385,264,105.11,216,108.686,240,106.666,159,-1.55646,182
"2025","Boston University",63.557,358,63.2398,354,100.974,296,99.0862,318,104.697,149,110.851,244,-11.7648,302
"2025","Bowling Green",70.012,78,69.2846,79,103.501,243,100.077,306,107.892,220,110.827,241,-10.7506,292
"2025","Bradley",66.7387,250,66.1386,261,113.911,42,112.356,86,103.669,118,104.699,118,7.65722,93
"2025","Brown",67.3718,220,66.1199,262,104.938,209,104.021,231,105.703,172,107.572,182,-3.55078,214
"2025","Bryant",72.8788,10,72.4754,7,108.953,120,107.41,171,103.043,103,107.149,172,0.260585,159
"2025","Bucknell",67.6236,201,67.702,168,104.809,215,103.083,246,102.85,96,107.313,177,-4.22976,217
"2025","Buffalo",72.3542,16,71.3456,24,97.3386,334,96.3121,342,112.413,322,113.83,306,-17.5183,341
"2025","Butler",67.2817,226,67.9112,155,110.122,91,116.649,45,107.998,222,105.146,128,11.5033,71
"2025","BYU",67.7,197,67.3301,200,118.049,12,123.444,12,101.412,71,101.141,67,22.3032,25
"2025","Cal Baptist",67.97,184,66.3684,242,104.868,213,106.88,185,103.831,123,107.108,171,-0.228537,164
"2025","Cal Poly",74.9485,2,74.8953,2,105.038,207,108.031,162,110.764,289,111.449,255,-3.41809,209
"2025","Cal St. Bakersfield",67.3553,221,66.2927,249,105.566,187,107.003,179,111.608,309,113.424,298,-6.42113,242
"2025","Cal St. Fullerton",68.687,148,68.3767,131,91.1384,360,95.5176,347,114.064,339,113.632,303,-18.1145,345
"2025","California",68.152,176,67.9058,156,108.394,132,111.373,98,109.609,262,107.188,174,4.18482,115
"2025","Campbell",66.2259,279,66.3018,247,104.017,236,102.752,253,103.746,121,106.21,151,-3.4581,211
"2025","Canisius",66.1164,283,66.1082,263,99.0205,319,100.767,295,119.239,361,122.889,363,-22.1222,358
"2025","Central Arkansas",67.4138,217,66.6301,229,99.1678,317,98.2356,332,115.32,344,116.335,335,-18.099,344
