GAME-ID,Teams
401469501,"['Liberty Flames', 'Bellarmine Knights']"
401469502,"['Austin Peay Governors', 'Queens University Royals']"
401469503,"['North Alabama Lions', 'Jacksonville State Gamecocks']"
401469504,"['Stetson Hatters', 'Lipscomb Bisons']"
401469505,"['Jacksonville Dolphins', 'Florida Gulf Coast Eagles']"
401469506,"['Austin Peay Governors', 'North Florida Ospreys']"
401469507,"['Queens University Royals', 'Eastern Kentucky Colonels']"
401469508,"['Central Arkansas Bears', 'Kennesaw State Owls']"
401469509,"['North Florida Ospreys', 'Stetson Hatters']"
401469530,"['Bellarmine Knights', 'North Alabama Lions']"
401469531,"['Eastern Kentucky Colonels', 'Kennesaw State Owls']"
401469532,"['Florida Gulf Coast Eagles', 'Central Arkansas Bears']"
401469533,"['Lipscomb Bisons', 'Liberty Flames']"
401469534,"['Jacksonville State Gamecocks', 'Jacksonville Dolphins']"
401469535,"['Eastern Kentucky Colonels', 'Central Arkansas Bears']"
401469536,"['Jacksonville Dolphins', 'Stetson Hatters']"
401469537,"['Florida Gulf Coast Eagles', 'Austin Peay Governors']"
401469538,"['Queens University Royals', 'Bellarmine Knights']"
401469539,"['North Alabama Lions', 'Lipscomb Bisons']"
401469540,"['Jacksonville State Gamecocks', 'Liberty Flames']"
401469541,"['Kennesaw State Owls', 'North Florida Ospreys']"
401469542,"['Kennesaw State Owls', 'Queens University Royals']"
401469543,"['Bellarmine Knights', 'Jacksonville State Gamecocks']"
401469544,"['Lipscomb Bisons', 'Jacksonville Dolphins']"
401469545,"['North Florida Ospreys', 'Florida Gulf Coast Eagles']"
401469546,"['Central Arkansas Bears', 'Austin Peay Governors']"
401469547,"['Stetson Hatters', 'North Alabama Lions']"
401469548,"['Liberty Flames', 'Eastern Kentucky Colonels']"
401469549,"['Lipscomb Bisons', 'Austin Peay Governors']"
401469550,"['Florida Gulf Coast Eagles', 'Eastern Kentucky Colonels']"
401469551,"['North Florida Ospreys', 'Jacksonville State Gamecocks']"
401469552,"['Jacksonville Dolphins', 'Kennesaw State Owls']"
401469553,"['Central Arkansas Bears', 'Queens University Royals']"
401469554,"['North Alabama Lions', 'Liberty Flames']"
401469555,"['Stetson Hatters', 'Bellarmine Knights']"
401469556,"['Jacksonville Dolphins', 'Jacksonville State Gamecocks']"
401469557,"['North Alabama Lions', 'Queens University Royals']"
401469558,"['Central Arkansas Bears', 'Liberty Flames']"
401469559,"['Austin Peay Governors', 'Lipscomb Bisons']"
401469560,"['Stetson Hatters', 'Eastern Kentucky Colonels']"
401469561,"['Florida Gulf Coast Eagles', 'Bellarmine Knights']"
401469562,"['North Florida Ospreys', 'Kennesaw State Owls']"
401469563,"['Bellarmine Knights', 'Austin Peay Governors']"
401469564,"['Jacksonville State Gamecocks', 'Florida Gulf Coast Eagles']"
401469565,"['Eastern Kentucky Colonels', 'Lipscomb Bisons']"
401469566,"['Liberty Flames', 'Jacksonville Dolphins']"
401469567,"['North Alabama Lions', 'Central Arkansas Bears']"
401469568,"['Queens University Royals', 'North Florida Ospreys']"
401469569,"['Kennesaw State Owls', 'Stetson Hatters']"
401469570,"['Eastern Kentucky Colonels', 'Austin Peay Governors']"
401469571,"['Central Arkansas Bears', 'North Alabama Lions']"
401469572,"['Liberty Flames', 'North Florida Ospreys']"
401469573,"['Kennesaw State Owls', 'Florida Gulf Coast Eagles']"
401469574,"['Bellarmine Knights', 'Lipscomb Bisons']"
401469575,"['Queens University Royals', 'Jacksonville Dolphins']"
401469576,"['Jacksonville State Gamecocks', 'Stetson Hatters']"
401469577,"['Stetson Hatters', 'Liberty Flames']"
401469578,"['Jacksonville Dolphins', 'North Alabama Lions']"
401469579,"['Florida Gulf Coast Eagles', 'Queens University Royals']"
401469580,"['Austin Peay Governors', 'Kennesaw State Owls']"
401469581,"['Eastern Kentucky Colonels', 'Bellarmine Knights']"
401469582,"['North Florida Ospreys', 'Central Arkansas Bears']"
401469583,"['Lipscomb Bisons', 'Jacksonville State Gamecocks']"
401469584,"['North Florida Ospreys', 'North Alabama Lions']"
401469585,"['Austin Peay Governors', 'Jacksonville State Gamecocks']"
401469586,"['Bellarmine Knights', 'Eastern Kentucky Colonels']"
401469587,"['Jacksonville Dolphins', 'Central Arkansas Bears']"
401469588,"['Lipscomb Bisons', 'Kennesaw State Owls']"
401469589,"['Florida Gulf Coast Eagles', 'Liberty Flames']"
401469590,"['Stetson Hatters', 'Queens University Royals']"
401469591,"['North Alabama Lions', 'Stetson Hatters']"
401469592,"['Queens University Royals', 'Lipscomb Bisons']"
401469593,"['Kennesaw State Owls', 'Bellarmine Knights']"
401469594,"['Liberty Flames', 'Austin Peay Governors']"
401469595,"['Central Arkansas Bears', 'Florida Gulf Coast Eagles']"
401469596,"['North Florida Ospreys', 'Jacksonville Dolphins']"
401469597,"['Jacksonville State Gamecocks', 'Eastern Kentucky Colonels']"
401469598,"['Jacksonville Dolphins', 'North Florida Ospreys']"
401469599,"['Kennesaw State Owls', 'Eastern Kentucky Colonels']"
401469600,"['Queens University Royals', 'Austin Peay Governors']"
401469601,"['Jacksonville State Gamecocks', 'Bellarmine Knights']"
401469602,"['North Alabama Lions', 'Florida Gulf Coast Eagles']"
401469603,"['Liberty Flames', 'Lipscomb Bisons']"
401469604,"['Central Arkansas Bears', 'Stetson Hatters']"
401469605,"['Austin Peay Governors', 'North Alabama Lions']"
401469606,"['Florida Gulf Coast Eagles', 'North Florida Ospreys']"
401469607,"['Eastern Kentucky Colonels', 'Queens University Royals']"
401469608,"['Stetson Hatters', 'Jacksonville Dolphins']"
401469609,"['Kennesaw State Owls', 'Jacksonville State Gamecocks']"
401469610,"['Bellarmine Knights', 'Liberty Flames']"
401469611,"['Lipscomb Bisons', 'Central Arkansas Bears']"
401469612,"['Austin Peay Governors', 'Central Arkansas Bears']"
401469613,"['Bellarmine Knights', 'Queens University Royals']"
401469614,"['Eastern Kentucky Colonels', 'Liberty Flames']"
401469615,"['Florida Gulf Coast Eagles', 'Jacksonville Dolphins']"
401469616,"['Lipscomb Bisons', 'North Alabama Lions']"
401469617,"['Stetson Hatters', 'North Florida Ospreys']"
401469618,"['Jacksonville State Gamecocks', 'Kennesaw State Owls']"
401469619,"['Florida Gulf Coast Eagles', 'Stetson Hatters']"
401469620,"['Central Arkansas Bears', 'Eastern Kentucky Colonels']"
401469621,"['Queens University Royals', 'Jacksonville State Gamecocks']"
401469622,"['North Florida Ospreys', 'Lipscomb Bisons']"
401469623,"['North Alabama Lions', 'Bellarmine Knights']"
401469624,"['Jacksonville Dolphins', 'Austin Peay Governors']"
401469625,"['Liberty Flames', 'Kennesaw State Owls']"
401469626,"['Jacksonville Dolphins', 'Lipscomb Bisons']"
401469627,"['North Alabama Lions', 'Eastern Kentucky Colonels']"
401469628,"['Stetson Hatters', 'Florida Gulf Coast Eagles']"
401469629,"['Central Arkansas Bears', 'Bellarmine Knights']"
401469630,"['Queens University Royals', 'Kennesaw State Owls']"
401469631,"['Liberty Flames', 'Jacksonville State Gamecocks']"
401469632,"['North Florida Ospreys', 'Austin Peay Governors']"
401469633,"['Kennesaw State Owls', 'North Alabama Lions']"
401469634,"['Lipscomb Bisons', 'Florida Gulf Coast Eagles']"
401469635,"['Eastern Kentucky Colonels', 'North Florida Ospreys']"
401469636,"['Austin Peay Governors', 'Stetson Hatters']"
401469637,"['Liberty Flames', 'Queens University Royals']"
401469638,"['Bellarmine Knights', 'Jacksonville Dolphins']"
401469639,"['Jacksonville State Gamecocks', 'Central Arkansas Bears']"
401469640,"['Jacksonville State Gamecocks', 'North Alabama Lions']"
401469641,"['Lipscomb Bisons', 'Stetson Hatters']"
401469642,"['Austin Peay Governors', 'Florida Gulf Coast Eagles']"
401469643,"['Queens University Royals', 'Liberty Flames']"
401469644,"['Eastern Kentucky Colonels', 'Jacksonville Dolphins']"
401469645,"['Bellarmine Knights', 'North Florida Ospreys']"
401469646,"['Kennesaw State Owls', 'Central Arkansas Bears']"
401469647,"['Eastern Washington Eagles', 'Montana Grizzlies']"
401469648,"['Idaho Vandals', 'Montana State Bobcats']"
401469649,"['Northern Arizona Lumberjacks', 'Idaho State Bengals']"
401469650,"['Northern Colorado Bears', 'Weber State Wildcats']"
401469651,"['Eastern Washington Eagles', 'Montana State Bobcats']"
401469652,"['Idaho Vandals', 'Montana Grizzlies']"
401469653,"['Northern Colorado Bears', 'Idaho State Bengals']"
401469654,"['Northern Arizona Lumberjacks', 'Weber State Wildcats']"
401469655,"['Portland State Vikings', 'Sacramento State Hornets']"
401469656,"['Portland State Vikings', 'Eastern Washington Eagles']"
401469657,"['Sacramento State Hornets', 'Idaho Vandals']"
401469658,"['Montana Grizzlies', 'Northern Arizona Lumberjacks']"
401469659,"['Montana State Bobcats', 'Northern Colorado Bears']"
