Team,Conf,Adjusted Tempo,Raw,Average Possession Length Offense,Average Possession Length Defense,Adjusted Off. Efficiency,Raw,Adjusted Def. Efficiency,Raw
Abilene Christian,WAC,69.1,69.6,16.9,17.5,98.8,96.5,103,101.3
Air Force,MWC,64.4,64.7,19.7,17.1,99.8,96.4,112,112.1
Akron,MAC,72.2,72.9,15.7,17.1,112.1,113.2,106,103.3
Alabama,SEC,74.9,75.9,15,16.6,127.2,119.4,97.8,105.2
Alabama A&M,SWAC,71.9,72.8,16,16.9,93.2,95.8,115.6,109.9
Alabama St.,SWAC,68,69.5,16.6,17.8,102.4,104.8,113.1,106.3
Albany,AE,67.6,68.4,17.2,17.8,103.3,106.2,111.7,106.9
Alcorn St.,SWAC,65,66.5,19.3,16.5,99.4,98.3,111.7,109.2
American,PL,63.5,63.6,19.8,18,102.2,103.8,109.4,106.2
Appalachian St.,SB,63.5,64.1,19.6,17.5,101.7,103.1,101.5,100.3
Arizona,B12,70.2,70.5,16.4,17.6,120,114,94.9,99.6
Arizona St.,B12,68.7,70.1,17.3,16.9,112.2,103.7,99.9,105.5
Arkansas,SEC,69,70.1,16.7,17.5,111.7,106.9,95,99.4
Arkansas Pine Bluff,SWAC,72,73.1,16,16.9,95.1,96.5,122,118.6
Arkansas St.,SB,69.8,70.4,16.8,17.3,110.2,110.8,101.1,98.1
Army,PL,67.7,67.5,17.6,17.8,101.3,103.9,114.9,110.2
Auburn,SEC,68.5,69.4,17.1,17.7,130.6,122.9,93,99.2
Austin Peay,ASun,66,66.7,18.3,17.4,102.3,103.2,112,111.8
Ball St.,MAC,66.2,68.1,18.2,17,104.8,108,114,109.7
Baylor,B12,65.3,66.3,18.2,17.9,121,113.5,100.6,104.6
Bellarmine,ASun,66.3,67.2,18.2,17.4,104.2,104.6,121.8,120.1
Belmont,MVC,70.5,70.5,16.1,17.7,114.6,113.3,112.2,111
Bethune Cookman,SWAC,69,69.8,17.4,16.9,98,98.4,107.7,104
Binghamton,AE,65.8,66.4,19.3,16.6,99.6,101.9,112.6,108.7
Boise St.,MWC,65.8,66.1,18.6,17.9,116.6,113.5,100.2,99.9
Boston College,ACC,66.6,66.9,18.1,17.8,105.1,102.4,106.6,108.7
Boston University,PL,63.1,63.6,19.3,18,99,101,110.8,104.7
Bowling Green,MAC,69.1,70,17.3,17,100,103.5,110.7,107.9
Bradley,MVC,66.1,66.9,17.3,18.3,111.9,113.8,105,104.1
Brown,Ivy,66,67.4,17.2,18.1,104.1,104.9,107.6,105.7
Bryant,AE,72.3,72.9,16.1,16.9,107.4,109,107.1,103
Bucknell,PL,67.6,67.6,17.7,17.7,103,104.8,107.3,102.8
Buffalo,MAC,71.2,72.4,16.6,16.5,96.3,97.3,113.8,112.4
Butler,BE,67.8,67.3,18.6,17.1,116.6,110.1,105.1,108
BYU,B12,67.2,67.7,17.1,18.2,123.3,118,101,101.4
Cal Baptist,WAC,66.2,68,17.6,17.8,106.8,104.9,107.1,103.8
Cal Poly,BW,74.7,74.9,14.2,17.8,108,105,111.4,110.8
Cal St. Bakersfield,BW,66.1,67.4,18.7,16.9,106.9,105.6,113.3,111.6
Cal St. Fullerton,BW,68.2,68.7,17.4,17.4,95.5,91.1,113.6,114.1
California,ACC,67.8,68.2,18,17.2,111.3,108.4,107.2,109.6
,,Tempo,,Avg. Poss Length,,Off. Efficiency,,Def. Efficiency,
Team,Conf,Adjusted,Raw,Offense,Defense,Adjusted,Raw,Adjusted,Raw
Campbell,CAA,66.2,66.2,17.3,18.8,102.7,104,106.1,103.7
Canisius,MAAC,66.1,66.2,18.4,17.6,101.5,99.6,122.2,118.8
Central Arkansas,ASun,66.3,67.4,18.3,17.1,97.9,98.8,116.5,115.4
Central Connecticut,NEC,66,66.2,17.8,18.4,101.7,105.6,102.5,95.4
Central Michigan,MAC,67.5,68.7,17.3,17.6,106.7,105.8,109.1,108.3
