Original_Team_Name,Standardized_Team_Name
Abilene Christian,Abilene Christian Wildcats
Air Force,Air Force Falcons
Akron,Akron Zips
Alabama,Alabama Crimson Tide
Alabama A&M,Alabama A&M Bulldogs
Alabama St.,Alabama State Hornets
Albany,UAlbany Great Danes
Alcorn St.,Alcorn State Braves
American,American University Eagles
Appalachian St.,App State Mountaineers
Arizona,Arizona Wildcats
Arizona St.,Arizona State Sun Devils
Arkansas,Arkansas Razorbacks
Arkansas Pine Bluff,Arkansas-Pine Bluff Golden Lions
Arkansas St.,Arkansas State Red Wolves
Army,Army Black Knights
Auburn,Auburn Tigers
Austin Peay,Austin Peay Governors
BYU,BYU Cougars
Ball St.,Ball State Cardinals
Baylor,Baylor Bears
Bellarmine,Bellarmine Knights
Belmont,Belmont Bruins
Bethune Cookman,Bethune-Cookman Wildcats
Binghamton,Binghamton Bearcats
Boise St.,Boise State Broncos
Boston College,Boston College Eagles
Boston University,Boston University Terriers
Bowling Green,Bowling Green Falcons
Bradley,Bradley Braves
Brown,Brown Bears
Bryant,Bryant Bulldogs
Bucknell,Bucknell Bison
Buffalo,Buffalo Bulls
Butler,Butler Bulldogs
CSUN,Cal State Northridge Matadors
Cal Baptist,California Baptist Lancers
Cal Poly,Cal Poly Mustangs
Cal St. Bakersfield,Cal State Bakersfield Roadrunners
Cal St. Fullerton,Cal State Fullerton Titans
Cal St. Northridge,Cal State Northridge Matadors
California,California Golden Bears
Campbell,Campbell Fighting Camels
Canisius,Canisius Golden Griffins
Central Arkansas,Central Arkansas Bears
Central Connecticut,Central Connecticut Blue Devils
Central Michigan,Central Michigan Chippewas
Charleston,Charleston Cougars
Charleston Southern,Charleston Southern Buccaneers
Charlotte,Charlotte 49ers
Chattanooga,Chattanooga Mocs
Chicago St.,Chicago State Cougars
Cincinnati,Cincinnati Bearcats
Clemson,Clemson Tigers
Cleveland St.,Cleveland State Vikings
Coastal Carolina,Coastal Carolina Chanticleers
Colgate,Colgate Raiders
Colorado,Colorado Buffaloes
Colorado St.,Colorado State Rams
Columbia,Columbia Lions
Connecticut,UConn Huskies
Coppin St.,Coppin State Eagles
Cornell,Cornell Big Red
Creighton,Creighton Bluejays
Dartmouth,Dartmouth Big Green
Davidson,Davidson Wildcats
Dayton,Dayton Flyers
DePaul,DePaul Blue Demons
Delaware,Delaware Blue Hens
Delaware St.,Delaware State Hornets
Denver,Denver Pioneers
Detroit Mercy,Detroit Mercy Titans
Drake,Drake Bulldogs
Drexel,Drexel Dragons
Duke,Duke Blue Devils
Duquesne,Duquesne Dukes
East Carolina,East Carolina Pirates
East Tennessee St.,East Tennessee State Buccaneers
East Texas A&M,East Texas A&M Lions
Eastern Illinois,Eastern Illinois Panthers
Eastern Kentucky,Eastern Kentucky Colonels
Eastern Michigan,Eastern Michigan Eagles
Eastern Washington,Eastern Washington Eagles
Elon,Elon Phoenix
Evansville,Evansville Purple Aces
FIU,Florida International Panthers
Fairfield,Fairleigh Dickinson Knights
Fairleigh Dickinson,Fairleigh Dickinson Knights
Florida,Florida Gators
Florida A&M,Florida A&M Rattlers
Florida Atlantic,Florida Atlantic Owls
Florida Gulf Coast,Florida Gulf Coast Eagles
Florida St.,Florida State Seminoles
Fordham,Fordham Rams
Fresno St.,Fresno State Bulldogs
Furman,Furman Paladins
Gardner Webb,Gardner-Webb Runnin' Bulldogs
George Mason,George Mason Patriots
George Washington,George Washington Revolutionaries
Georgetown,Georgetown Hoyas
Georgia,Georgia Bulldogs
Georgia Southern,Georgia Southern Eagles
Georgia St.,Georgia State Panthers
Georgia Tech,Georgia Tech Yellow Jackets
Gonzaga,Gonzaga Bulldogs
Grambling St.,Grambling Tigers
Grand Canyon,Grand Canyon Lopes
Green Bay,Green Bay Phoenix
Hampton,Hampton Pirates
Hartford,Hartford Hawks
Harvard,Harvard Crimson
Hawaii,Hawai'i Rainbow Warriors
High Point,High Point Panthers
Hofstra,Hofstra Pride
Holy Cross,Holy Cross Crusaders
Houston,Houston Cougars
Houston Christian,Houston Christian Huskies
Howard,Howard Bison
IU Indy,IU Indianapolis Jaguars
IUPUI,IU Indianapolis Jaguars
Idaho,Idaho Vandals
Idaho St.,Idaho State Bengals
Illinois,Illinois Fighting Illini
Illinois Chicago,UIC Flames
Illinois St.,Illinois State Redbirds
Incarnate Word,Incarnate Word Cardinals
Indiana,Indiana Hoosiers
Indiana St.,Indiana State Sycamores
Iona,Iona Gaels
Iowa,Iowa Hawkeyes
Iowa St.,Iowa State Cyclones
Jackson St.,Jackson State Tigers
Jacksonville,Jacksonville Dolphins
Jacksonville St.,Jacksonville State Gamecocks
James Madison,James Madison Dukes
Kansas,Kansas Jayhawks
Kansas City,Kansas City Roos
Kansas St.,Kansas State Wildcats
Kennesaw St.,Kennesaw State Owls
Kent St.,Kent State Golden Flashes
Kentucky,Kentucky Wildcats
LIU,Long Island University Sharks
LSU,LSU Tigers
La Salle,La Salle Explorers
Lafayette,Lafayette Leopards
Lamar,Lamar Cardinals
Le Moyne,Le Moyne Dolphins
Lehigh,Lehigh Mountain Hawks
Liberty,Liberty Flames
Lindenwood,Lindenwood Lions
Lipscomb,Lipscomb Bisons
Little Rock,Little Rock Trojans
Long Beach St.,Long Beach State Beach
Longwood,Longwood Lancers
Louisiana,Louisiana Ragin' Cajuns
Louisiana Monroe,UL Monroe Warhawks
Louisiana Tech,Louisiana Tech Bulldogs
Louisville,Louisville Cardinals
Loyola Chicago,Loyola Chicago Ramblers
Loyola MD,Loyola Maryland Greyhounds
Loyola Marymount,Loyola Marymount Lions
Maine,Maine Black Bears
Manhattan,Manhattan Jaspers
Marist,Marist Red Foxes
Marquette,Marquette Golden Eagles
Marshall,Marshall Thundering Herd
Maryland,Maryland Terrapins
Maryland Eastern Shore,Maryland Eastern Shore Hawks
Massachusetts,Massachusetts Minutemen
McNeese,McNeese Cowboys
McNeese St.,McNeese Cowboys
Memphis,Memphis Tigers
Mercer,Mercer Bears
Mercyhurst,Mercyhurst Lakers
Merrimack,Merrimack Warriors
Miami FL,Miami Hurricanes
Miami OH,Miami (OH) RedHawks
Michigan,Michigan Wolverines
Michigan St.,Michigan State Spartans
Middle Tennessee,Middle Tennessee Blue Raiders
Milwaukee,Milwaukee Panthers
Minnesota,Minnesota Golden Gophers
Mississippi,Ole Miss Rebels
Mississippi St.,Mississippi State Bulldogs
Mississippi Valley St.,Mississippi Valley State Delta Devils
Missouri,Missouri Tigers
Missouri St.,Missouri State Bears
Monmouth,Monmouth Hawks
Montana,Montana Grizzlies
Montana St.,Montana State Bobcats
Morehead St.,Morehead State Eagles
Morgan St.,Morgan State Bears
Mount St. Mary's,Mount St. Mary's Mountaineers
Murray St.,Murray State Racers
N.C. State,NC State Wolfpack
NJIT,NJIT Highlanders
Navy,Navy Midshipmen
Nebraska,Nebraska Cornhuskers
Nebraska Omaha,Omaha Mavericks
Nevada,Nevada Wolf Pack
New Hampshire,New Hampshire Wildcats
New Mexico,New Mexico Lobos
New Mexico St.,New Mexico State Aggies
New Orleans,New Orleans Privateers
Niagara,Niagara Purple Eagles
Nicholls,Nicholls Colonels
Nicholls St.,Nicholls Colonels
Norfolk St.,Norfolk State Spartans
North Alabama,North Alabama Lions
North Carolina,North Carolina Tar Heels
North Carolina A&T,North Carolina A&T Aggies
North Carolina Central,North Carolina Central Eagles
North Dakota,North Dakota Fighting Hawks
North Dakota St.,North Dakota State Bison
North Florida,North Florida Ospreys
North Texas,North Texas Mean Green
Northeastern,Northeastern Huskies
Northern Arizona,Northern Arizona Lumberjacks
Northern Colorado,Northern Colorado Bears
Northern Illinois,Northern Illinois Huskies
Northern Iowa,Northern Iowa Panthers
Northern Kentucky,Northern Kentucky Norse
Northwestern,Northwestern Wildcats
Northwestern St.,Northwestern State Demons
Notre Dame,Notre Dame Fighting Irish
Oakland,Oakland Golden Grizzlies
Ohio,Ohio Bobcats
Ohio St.,Ohio State Buckeyes
Oklahoma,Oklahoma Sooners
Oklahoma St.,Oklahoma State Cowboys
Old Dominion,Old Dominion Monarchs
Oral Roberts,Oral Roberts Golden Eagles
Oregon,Oregon Ducks
Oregon St.,Oregon State Beavers
Pacific,Pacific Tigers
Penn,Pennsylvania Quakers
Penn St.,Penn State Nittany Lions
Pepperdine,Pepperdine Waves
Pittsburgh,Pittsburgh Panthers
Portland,Portland Pilots
Portland St.,Portland State Vikings
Prairie View A&M,Prairie View A&M Panthers
Presbyterian,Presbyterian Blue Hose
Princeton,Princeton Tigers
Providence,Providence Friars
Purdue,Purdue Boilermakers
Purdue Fort Wayne,Purdue Fort Wayne Mastodons
Queens,Queens University Royals
Quinnipiac,Quinnipiac Bobcats
Radford,Radford Highlanders
Rhode Island,Rhode Island Rams
Rice,Rice Owls
Richmond,Richmond Spiders
Rider,Rider Broncs
Robert Morris,Robert Morris Colonials
Rutgers,Rutgers Scarlet Knights
SIU Edwardsville,SIU Edwardsville Cougars
SIUE,SIU Edwardsville Cougars
SMU,SMU Mustangs
Sacramento St.,Sacramento State Hornets
Sacred Heart,Sacred Heart Pioneers
Saint Francis,St. Francis (PA) Red Flash
Saint Joseph's,Saint Joseph's Hawks
Saint Louis,Saint Louis Billikens
Saint Mary's,Saint Mary's Gaels
Saint Peter's,Saint Peter's Peacocks
Sam Houston St.,Sam Houston Bearkats
Samford,Samford Bulldogs
San Diego,San Diego Toreros
San Diego St.,San Diego State Aztecs
San Francisco,San Francisco Dons
San Jose St.,San José State Spartans
Santa Clara,Santa Clara Broncos
Seattle,Seattle U Redhawks
Seton Hall,Seton Hall Pirates
Siena,Siena Saints
South Alabama,South Alabama Jaguars
South Carolina,South Carolina Gamecocks
South Carolina St.,South Carolina State Bulldogs
South Dakota,South Dakota Coyotes
South Dakota St.,South Dakota State Jackrabbits
South Florida,South Florida Bulls
Southeast Missouri,Southeast Missouri State Redhawks
Southeast Missouri St.,Southeast Missouri State Redhawks
Southeastern Louisiana,SE Louisiana Lions
Southern,Southern Jaguars
Southern Illinois,Southern Illinois Salukis
Southern Indiana,Southern Indiana Screaming Eagles
Southern Miss,Southern Miss Golden Eagles
Southern Utah,Southern Utah Thunderbirds
St. Bonaventure,St. Bonaventure Bonnies
St. Francis NY,St. Francis (NY) Terriers
St. Francis PA,St. Francis (PA) Red Flash
St. John's,St. John's Red Storm
St. Thomas,St. Thomas-Minnesota Tommies
Stanford,Stanford Cardinal
Stephen F. Austin,Stephen F. Austin Lumberjacks
Stetson,Stetson Hatters
Stonehill,Stonehill Skyhawks
Stony Brook,Stony Brook Seawolves
Syracuse,Syracuse Orange
TCU,TCU Horned Frogs
Tarleton St.,Tarleton State Texans
Temple,Temple Owls
Tennessee,Tennessee Volunteers
Tennessee Martin,UT Martin Skyhawks
Tennessee St.,Tennessee State Tigers
Tennessee Tech,Tennessee Tech Golden Eagles
Texas,Texas Longhorns
Texas A&M,Texas A&M Aggies
Texas A&M Commerce,Texas A&M-Commerce Lions
Texas A&M Corpus Chris,Texas A&M-Corpus Christi Islanders
Texas Southern,Texas Southern Tigers
Texas St.,Texas State Bobcats
